Designator,Footprint,Quantity,Value,Link,Price
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D5, D6, D7, D8, D9",D_SOD-123,42,D,https://www.lcsc.com/product-detail/C22374920.html,0.57
"R1, R2",805,2,806k,https://www.lcsc.com/product-detail/C54532361.html,0.18
"R3, R4",805,2,2m,https://www.lcsc.com/product-detail/C7463367.html,0.43
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW5, SW6, SW7, SW8, SW9",SW_Cherry_MX_1.00u_PCB,1 pack of 45,SW_Push,https://stackskb.com/store/akko-x-monsgeek-green-fog-linear-switch-pack-of-45/,13.64
"U1, U2",XIAO-nRF52840-SMD,2,XIAO-nRF52840-SMD,https://robu.in/product/seeed-studio-xiao-ble-nrf52840/,23.72
Keycaps,--,5 pack of 10,--,https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/blank/blank-dsa-keycaps-1u/,4.99
,,,,Parts shipping,10.38
,,,,PCB+ PCB shipping,32.23
,,,,Total,86.14
